Entity,Code,Year,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from other renewables including bioenergy (TWh)
Antigua and Barbuda,ATG,2016,0,0,0.01,0
Antigua and Barbuda,ATG,2017,0,0,0.01,0
Antigua and Barbuda,ATG,2018,0,0,0.01,0
Antigua and Barbuda,ATG,2019,0,0,0.01,0
Antigua and Barbuda,ATG,2020,0,0,0.01,0
Argentina,ARG,1965,0,1.225,0,0
Argentina,ARG,1966,0,1.241,0,0
Argentina,ARG,1967,0,1.271,0,0
Argentina,ARG,1968,0,1.498,0,0
Argentina,ARG,1969,0,1.344,0,0
Argentina,ARG,1970,0,1.555,0,0.048
Argentina,ARG,1971,0,1.544,0,0.05
Argentina,ARG,1972,0,1.504,0,0.064
Argentina,ARG,1973,0,2.994,0,0.049
Argentina,ARG,1974,0,5.028,0,0.05
Argentina,ARG,1975,0,5.201,0,0.055
Argentina,ARG,1976,0,5.013,0,0.05
Argentina,ARG,1977,0,5.766,0,0.054
Argentina,ARG,1978,0,7.752,0,0.054
Argentina,ARG,1979,0,10.66,0,0.084
Argentina,ARG,1980,0,15.144,0,0.086
Argentina,ARG,1981,0,14.685,0,0.075
Argentina,ARG,1982,0,17.593,0,0.096
Argentina,ARG,1983,0,18.419,0,0.137
Argentina,ARG,1984,0,19.88,0,0.097
Argentina,ARG,1985,0,20.646,0,0.103
Argentina,ARG,1986,0,21.009,0,0.107
Argentina,ARG,1987,0,21.841,0,0.108
Argentina,ARG,1988,0,15.033,0,0.121
Argentina,ARG,1989,0,12.965,0,0.119
Argentina,ARG,1990,0,17.876,0,0.107
Argentina,ARG,1991,0,16.221,0,0.1
Argentina,ARG,1992,0,19.779,0,0.102
Argentina,ARG,1993,0,23.555,0,0.107
Argentina,ARG,1994,0,27.973,0,0.119
Argentina,ARG,1995,0,28.458,0,0.116
Argentina,ARG,1996,0.01,25.945,0,0.351
Argentina,ARG,1997,0.015,33.03,0,0.446
Argentina,ARG,1998,0.033,32.422,0,0.464
Argentina,ARG,1999,0.035,26.53,0,0.65
Argentina,ARG,2000,0.04,28.49,0,0.7
Argentina,ARG,2001,0.05,36.65,0,0.64
Argentina,ARG,2002,0.07,35.49,0,0.92
Argentina,ARG,2003,0.08,33.47,0,1.06
Argentina,ARG,2004,0.07,30.14,0,0.92
Argentina,ARG,2005,0.08,33.66,0,1.1
Argentina,ARG,2006,0.07,37.57,0,1.69
Argentina,ARG,2007,0.06,30.06,0,1.71
Argentina,ARG,2008,0.04,30.11,0,1.71
Argentina,ARG,2009,0.04,33.53,0,1.78
Argentina,ARG,2010,0.03,33.02,0,2.07
Argentina,ARG,2011,0.06,31.03,0,2.26
Argentina,ARG,2012,0.82,28.71,0.01,2.49
Argentina,ARG,2013,1.01,32.51,0.01,2.5
Argentina,ARG,2014,0.62,32.33,0.02,2.37
Argentina,ARG,2015,0.59,31.94,0.01,2.47
Argentina,ARG,2016,0.55,29.4,0.01,2.01
Argentina,ARG,2017,0.61,31.46,0.02,2.47
Argentina,ARG,2018,1.41,31.96,0.11,0.49
Argentina,ARG,2019,5,27.33,0.8,0.65
Argentina,ARG,2020,9.41,24.26,1.35,0.43
Argentina,ARG,2021,12.96,19.19,2.2,0.8
Armenia,ARM,2000,0,1.25,0,0
Armenia,ARM,2001,0,0.96,0,0
Armenia,ARM,2002,0,1.64,0,0
Armenia,ARM,2003,0,1.96,0,0
Armenia,ARM,2004,0,1.98,0,0
Armenia,ARM,2005,0,1.75,0,0
Armenia,ARM,2006,0,1.81,0,0
Armenia,ARM,2007,0,1.83,0,0
Armenia,ARM,2008,0,1.78,0,0
Armenia,ARM,2009,0,2,0,0
Armenia,ARM,2010,0.01,2.53,0,0
Armenia,ARM,2011,0,2.46,0,0
Armenia,ARM,2012,0,2.3,0,0
Armenia,ARM,2013,0,2.15,0,0
Armenia,ARM,2014,0,1.97,0,0
Armenia,ARM,2015,0,2.18,0,0
Armenia,ARM,2016,0,2.33,0,0
Armenia,ARM,2017,0,2.25,0,0
Armenia,ARM,2018,0,2.29,0.02,0
Armenia,ARM,2019,0,2.35,0.02,0
Armenia,ARM,2020,0,1.78,0.02,0
Armenia,ARM,2021,0,1.8,0.02,0
Aruba,ABW,2000,0,0,0,0
Aruba,ABW,2001,0,0,0,0
Aruba,ABW,2002,0,0,0,0
Aruba,ABW,2003,0,0,0,0
Aruba,ABW,2004,0,0,0,0
Aruba,ABW,2005,0,0,0,0
Aruba,ABW,2006,0,0,0,0
Aruba,ABW,2007,0,0,0,0
Aruba,ABW,2008,0,0,0,0
Aruba,ABW,2009,0.03,0,0,0
Aruba,ABW,2010,0.11,0,0,0
Aruba,ABW,2011,0.11,0,0,0
Aruba,ABW,2012,0.14,0,0,0
Aruba,ABW,2013,0.15,0,0,0
Aruba,ABW,2014,0.15,0,0.01,0
Aruba,ABW,2015,0.17,0,0.01,0
Aruba,ABW,2016,0.13,0,0.01,0
Aruba,ABW,2017,0.13,0,0.01,0
Aruba,ABW,2018,0.14,0,0.01,0
Aruba,ABW,2019,0.14,0,0.01,0
Aruba,ABW,2020,0.14,0,0.01,0
Asia,,1965,0,132.304,0,0.1
Asia,,1966,0,138.411,0,0.122
Asia,,1967,0,128.276,0,0.173
Asia,,1968,0,143.709,0,0.179
Asia,,1969,0,149.386,0,0.178
Asia,,1970,0,153.176,0,0.409
Asia,,1971,0,168.205,0,0.398
Asia,,1972,0,174.141,0,0.424
Asia,,1973,0,161.252,0,0.451
Asia,,1974,0,184.346,0,0.515
Asia,,1975,0,198.816,0,0.599
Asia,,1976,0,203.94,0,0.529
Asia,,1977,0,199.375,0,0.753
Asia,,1978,0,210.071,0,0.968
Asia,,1979,0,227.208,0,1.882
Asia,,1980,0,244.331,0,3.272
Asia,,1981,0,261.41,0,5.159
Asia,,1982,0,258.164,0,13.787
Asia,,1983,0,270.865,0,15.97
Asia,,1984,0,270.586,0,17.503
Asia,,1985,0,300.189,0,18.651
Asia,,1986,0,303.989,0,19.51
Asia,,1987,0,314.906,0,19.839
Asia,,1988,0,358.37,0,21.396
Asia,,1989,0,370.692,0,23.235
Asia,,1990,0.032,389.925,0.004,19.001
Asia,,1991,0.122,395.859,0.004,19.409
Asia,,1992,0.22,399.766,0.016,19.675
Asia,,1993,0.309,448.273,0.028,19.465
Asia,,1994,0.577,441.874,0.036,23.048
Asia,,1995,1.114,485.531,0.05,27.685
Asia,,1996,0.974,481.613,0.073,28.124
Asia,,1997,1.188,484.537,0.116,31.593
Asia,,1998,1.444,516.838,0.167,33.705
Asia,,1999,2.02,498.053,0.246,36.97
Asia,,2000,2.37,567.93,0.39,61.505
Asia,,2001,3.18,615.43,0.53,62.458
Asia,,2002,3.46,634.63,0.75,64.149
Asia,,2003,4.58,663.7,1,66.1
Asia,,2004,8.01,775.02,1.31,67.998
Asia,,2005,10.07,812.88,1.61,73.992
Asia,,2006,16.06,884.61,1.94,78.744
Asia,,2007,21.16,925.53,2.32,85.895
Asia,,2008,32.57,1055.61,2.81,89.565
Asia,,2009,50.78,1032.88,3.82,99.748
Asia,,2010,78,1179.45,5.39,114.63
Asia,,2011,110.32,1197.4,9.79,124.579
Asia,,2012,144.19,1371.29,14.75,131.62
Asia,,2013,185.36,1453.96,28.92,145.987
Asia,,2014,211.76,1593.63,57.97,164.293
Asia,,2015,241.43,1668.06,91.08,182.156
Asia,,2016,313.52,1726.6,139.98,190.824
Asia,,2017,392.11,1772.94,217.59,217.897
Asia,,2018,467,1821.56,309.66,241.81
Asia,,2019,515.2,1921.12,391.69,272.912
Asia,,2020,578.57,1958.06,463.45,306.48
Asia Pacific,,1965,0,156.09,0,1.644
Asia Pacific,,1966,0,162.312,0,1.643
Asia Pacific,,1967,0,152.867,0,1.424
Asia Pacific,,1968,0,168.249,0,1.577
Asia Pacific,,1969,0,174.164,0,1.608
Asia Pacific,,1970,0,180.71,0,1.777
Asia Pacific,,1971,0,199.282,0,1.755
Asia Pacific,,1972,0,205.116,0,1.786
Asia Pacific,,1973,0,194.012,0,1.835
Asia Pacific,,1974,0,217.905,0,2.496
Asia Pacific,,1975,0,232.444,0,2.654
Asia Pacific,,1976,0,233.253,0,2.587
Asia Pacific,,1977,0,227.038,0,2.622
Asia Pacific,,1978,0,237.046,0,2.917
Asia Pacific,,1979,0,256.982,0,3.713
Asia Pacific,,1980,0,273.447,0,5.173
Asia Pacific,,1981,0,289.73,0,7.072
Asia Pacific,,1982,0,282.667,0,15.952
Asia Pacific,,1983,0,299.341,0,18.068
Asia Pacific,,1984,0,299.407,0,19.742
Asia Pacific,,1985,0,320.045,0,20.791
Asia Pacific,,1986,0,328.159,0,21.69
Asia Pacific,,1987,0,326.891,0,22.01
Asia Pacific,,1988,0,361.786,0,23.827
Asia Pacific,,1989,0,388.044,0,26.243
Asia Pacific,,1990,0.032,399.272,0.004,22.334
Asia Pacific,,1991,0.122,410.524,0.009,22.838
Asia Pacific,,1992,0.22,401.525,0.028,23.006
Asia Pacific,,1993,0.312,440.287,0.043,22.899
Asia Pacific,,1994,0.584,443.298,0.053,26.371
Asia Pacific,,1995,1.122,483.434,0.071,30.902
Asia Pacific,,1996,0.991,473.409,0.098,31.456
Asia Pacific,,1997,1.214,475.895,0.147,34.938
Asia Pacific,,1998,1.49,506.674,0.203,37.542
Asia Pacific,,1999,2.053,500.243,0.286,41.203
Asia Pacific,,2000,2.564,521.653,0.428,44.608
Asia Pacific,,2001,3.517,570.464,0.609,45.244
Asia Pacific,,2002,4.067,578.909,0.829,47.074
Asia Pacific,,2003,5.341,594.354,1.117,49.245
Asia Pacific,,2004,9.187,699.152,1.464,53.026
Asia Pacific,,2005,12.019,727.961,1.853,60.192
Asia Pacific,,2006,18.57,801.698,2.291,64.501
Asia Pacific,,2007,24.603,852.174,2.748,71.135
Asia Pacific,,2008,36.08,997.777,3.33,78.971
Asia Pacific,,2009,54.848,968.087,4.382,87.289
Asia Pacific,,2010,81.484,1097.622,6.737,99.389
Asia Pacific,,2011,113.551,1117.743,12.153,108.747
Asia Pacific,,2012,147.724,1261.912,17.528,117.627
Asia Pacific,,2013,188.472,1367.364,32.321,129.557
Asia Pacific,,2014,214.273,1521.93,62.822,148.078
Asia Pacific,,2015,243.06,1565.605,95.346,165.557
Asia Pacific,,2016,311.208,1628.172,141.531,170.847
Asia Pacific,,2017,387.098,1671.439,219.805,197.444
Asia Pacific,,2018,461.952,1711.996,309.11,221.826
Asia Pacific,,2019,509.368,1791.478,392.039,247.815
Asia Pacific,,2020,572.636,1847.216,470.298,279.073
Australia,AUS,1965,0,7.69,0,0.296
Australia,AUS,1966,0,7.345,0,0.284
Australia,AUS,1967,0,7.606,0,0.29
Australia,AUS,1968,0,7.951,0,0.282
Australia,AUS,1969,0,8.684,0,0.281
Australia,AUS,1970,0,10.171,0,0.261
Australia,AUS,1971,0,11.507,0,0.263
Australia,AUS,1972,0,11.553,0,0.28
Australia,AUS,1973,0,12.286,0,0.338
Australia,AUS,1974,0,13.874,0,0.429
Australia,AUS,1975,0,14.888,0,0.489
Australia,AUS,1976,0,14.154,0,0.484
Australia,AUS,1977,0,13.544,0,0.429
Australia,AUS,1978,0,14.675,0,0.405
Australia,AUS,1979,0,14.246,0,0.418
Australia,AUS,1980,0,13.467,0,0.385
Australia,AUS,1981,0,13.866,0,0.404
Australia,AUS,1982,0,12.77,0,0.516
Australia,AUS,1983,0,12.124,0,0.431
Australia,AUS,1984,0,13.126,0,0.441
Australia,AUS,1985,0,13.941,0,0.456
Australia,AUS,1986,0,14.026,0,0.46
Australia,AUS,1987,0,13.614,0,0.47
Australia,AUS,1988,0,14.334,0,0.731
Australia,AUS,1989,0,14.254,0,0.81
Australia,AUS,1990,0,14.76,0,0.76
Australia,AUS,1991,0,15.654,0.005,0.72
Australia,AUS,1992,0,15.942,0.012,0.67
Australia,AUS,1993,0.002,16.387,0.015,0.67
Australia,AUS,1994,0.006,16.15,0.017,0.696
Australia,AUS,1995,0.007,15.631,0.021,0.826
Australia,AUS,1996,0.007,15.968,0.026,0.946
Australia,AUS,1997,0.008,15.952,0.031,0.997
Australia,AUS,1998,0.018,15.798,0.036,1.081
Australia,AUS,1999,0.043,16.282,0.041,1.134
Australia,AUS,2000,0.06,16.2,0.04,0.81
Australia,AUS,2001,0.21,16.4,0.04,0.75
Australia,AUS,2002,0.36,15.72,0.05,1.22
Australia,AUS,2003,0.7,16.13,0.06,1.61
Australia,AUS,2004,0.7,15.89,0.07,2.75
Australia,AUS,2005,0.88,15.16,0.08,3.63
Australia,AUS,2006,1.71,15.77,0.09,3.62
Australia,AUS,2007,2.61,14.2,0.11,4.01
Australia,AUS,2008,3.09,11.79,0.13,3.48
Australia,AUS,2009,3.81,11.68,0.16,2.66
Australia,AUS,2010,5.05,13.5,0.39,2.35
Australia,AUS,2011,6.09,16.69,1.39,2.46
Australia,AUS,2012,6.97,13.98,2.33,2.99
Australia,AUS,2013,7.96,18.12,3.48,3.18
Australia,AUS,2014,10.25,18.34,4.01,3.28
Australia,AUS,2015,11.47,13.32,5.02,3.46
Australia,AUS,2016,12.2,15.02,6.21,3.46
Australia,AUS,2017,12.6,16.04,8.07,3.32
Australia,AUS,2018,15.16,15.83,9.93,3.43
Australia,AUS,2019,17.71,15.54,14.85,3.28
Australia,AUS,2020,20.4,15.15,21.03,3.12
Australia,AUS,2021,24.56,16.63,29.12,3.12
Austria,AUT,1965,0,16.083,0,0
Austria,AUT,1966,0,17.331,0,0
Austria,AUT,1967,0,17.698,0,0
Austria,AUT,1968,0,18.185,0,0
Austria,AUT,1969,0,16.718,0,0
Austria,AUT,1970,0,21.29,0,0
Austria,AUT,1971,0,16.82,0,0
Austria,AUT,1972,0,17.288,0,0
Austria,AUT,1973,0,19.209,0,0
Austria,AUT,1974,0,22.712,0,0
Austria,AUT,1975,0,23.795,0,0
Austria,AUT,1976,0,20.566,0,0
Austria,AUT,1977,0,24.921,0,0
Austria,AUT,1978,0,24.941,0,0
Austria,AUT,1979,0,28.097,0,0
Austria,AUT,1980,0,29.11,0,0
Austria,AUT,1981,0,30.847,0,0
Austria,AUT,1982,0,30.896,0,0
Austria,AUT,1983,0,30.606,0,0
Austria,AUT,1984,0,26.85,0,0
Austria,AUT,1985,0,30.775,0,0
Austria,AUT,1986,0,30.904,0,1.288
Austria,AUT,1987,0,35.388,0,0.906
Austria,AUT,1988,0,35.304,0,1.047
Austria,AUT,1989,0,35.082,0,1.104
Austria,AUT,1990,0,31.51,0,1.13
Austria,AUT,1991,0,31.44,0,1.21
Austria,AUT,1992,0,34.85,0,1.31
Austria,AUT,1993,0,36.71,0,1.34
Austria,AUT,1994,0,35.71,0,1.19
Austria,AUT,1995,0,37.07,0,1.84
Austria,AUT,1996,0,34.22,0,1.57
Austria,AUT,1997,0.02,36.11,0,1.69
Austria,AUT,1998,0.05,37.16,0,1.82
Austria,AUT,1999,0.05,40.7,0,1.6
Austria,AUT,2000,0.07,41.84,0,1.53
Austria,AUT,2001,0.1,40.46,0.01,1.67
Austria,AUT,2002,0.14,40.23,0.01,1.52
Austria,AUT,2003,0.37,33.21,0.01,1.65
Austria,AUT,2004,0.93,36.76,0.02,1.91
Austria,AUT,2005,1.33,37.1,0.02,2.43
Austria,AUT,2006,1.75,35.66,0.02,3.23
Austria,AUT,2007,2.04,37.05,0.02,4.06
Austria,AUT,2008,2.01,38.33,0.03,4.16
Austria,AUT,2009,1.95,40.9,0.05,4.28
Austria,AUT,2010,2.06,38.36,0.09,4.48
Austria,AUT,2011,1.94,34.24,0.17,4.56
Austria,AUT,2012,2.46,43.85,0.34,4.68
Austria,AUT,2013,3.15,42.02,0.63,4.7
Austria,AUT,2014,3.85,41.01,0.79,4.55
Austria,AUT,2015,4.84,37.16,0.94,4.65
Austria,AUT,2016,5.23,39.97,1.1,4.78
Austria,AUT,2017,6.57,38.29,1.27,4.92
Austria,AUT,2018,6.03,37.64,1.46,4.93
Austria,AUT,2019,7.45,40.83,1.7,4.66
Austria,AUT,2020,6.79,42,2.04,4.59
Austria,AUT,2021,6.5,39.58,1.99,4.33
Azerbaijan,AZE,1985,0,1.313,0,0
Azerbaijan,AZE,1986,0,0.804,0,0
Azerbaijan,AZE,1987,0,0.804,0,0
Azerbaijan,AZE,1988,0,0.698,0,0
Azerbaijan,AZE,1989,0,0.698,0,0
Azerbaijan,AZE,1990,0,1.658,0,0
Azerbaijan,AZE,1991,0,1.759,0,0
Azerbaijan,AZE,1992,0,1.747,0,0
Azerbaijan,AZE,1993,0,2.426,0,0
Azerbaijan,AZE,1994,0,1.83,0,0
Azerbaijan,AZE,1995,0,1.556,0,0
Azerbaijan,AZE,1996,0,1.537,0,0
Azerbaijan,AZE,1997,0,1.712,0,0
Azerbaijan,AZE,1998,0,1.951,0,0
Azerbaijan,AZE,1999,0,1.506,0,0
Azerbaijan,AZE,2000,0,1.52,0,0
Azerbaijan,AZE,2001,0,1.29,0,0
Azerbaijan,AZE,2002,0,2,0,0
Azerbaijan,AZE,2003,0,2.44,0,0
Azerbaijan,AZE,2004,0,2.73,0,0
Azerbaijan,AZE,2005,0,2.98,0,0
Azerbaijan,AZE,2006,0,2.49,0,0
Azerbaijan,AZE,2007,0,2.34,0,0
Azerbaijan,AZE,2008,0,2.21,0,0
Azerbaijan,AZE,2009,0,2.29,0,0
Azerbaijan,AZE,2010,0,3.41,0,0
Azerbaijan,AZE,2011,0,2.65,0,0
Azerbaijan,AZE,2012,0,1.8,0,0
Azerbaijan,AZE,2013,0,1.47,0,0
Azerbaijan,AZE,2014,0,1.29,0,0
Azerbaijan,AZE,2015,0,1.62,0,0
Azerbaijan,AZE,2016,0.02,1.94,0.04,0
Azerbaijan,AZE,2017,0.02,1.73,0.04,0
Azerbaijan,AZE,2018,0.08,1.75,0.04,0
Azerbaijan,AZE,2019,0.1,1.55,0.04,0
Azerbaijan,AZE,2020,0.1,1.07,0.05,0
Azerbaijan,AZE,2021,0.1,1.13,0.05,0
Bahamas,BHS,2000,0,0,0,0
Bahamas,BHS,2001,0,0,0,0
Bahamas,BHS,2002,0,0,0,0
Bahamas,BHS,2003,0,0,0,0
Bahamas,BHS,2004,0,0,0,0
Bahamas,BHS,2005,0,0,0,0
Bahamas,BHS,2006,0,0,0,0
Bahamas,BHS,2007,0,0,0,0
Bahamas,BHS,2008,0,0,0,0
Bahamas,BHS,2009,0,0,0,0
Bahamas,BHS,2010,0,0,0,0
Bahamas,BHS,2011,0,0,0,0
Bahamas,BHS,2012,0,0,0,0
Bahamas,BHS,2013,0,0,0,0
Bahamas,BHS,2014,0,0,0,0
Bahamas,BHS,2015,0,0,0,0
Bahamas,BHS,2016,0,0,0,0
Bahamas,BHS,2017,0,0,0,0
Bahamas,BHS,2018,0,0,0,0
Bahamas,BHS,2019,0,0,0,0
Bahamas,BHS,2020,0,0,0,0
Bahrain,BHR,2000,0,0,0,0
Bahrain,BHR,2001,0,0,0,0
Bahrain,BHR,2002,0,0,0,0
Bahrain,BHR,2003,0,0,0,0
Bahrain,BHR,2004,0,0,0,0
Bahrain,BHR,2005,0,0,0,0
Bahrain,BHR,2006,0,0,0,0
Bahrain,BHR,2007,0,0,0,0
