Entity,Code,Year,Geothermal Capacity
Costa Rica,CRI,2005,165.7
Costa Rica,CRI,2006,165.7
Costa Rica,CRI,2007,165.7
Costa Rica,CRI,2008,165.7
Costa Rica,CRI,2009,165.7
Costa Rica,CRI,2010,165.7
Costa Rica,CRI,2011,217.5
Costa Rica,CRI,2012,217.5
Costa Rica,CRI,2013,217.5
Costa Rica,CRI,2014,217.5
Costa Rica,CRI,2015,217.36
Costa Rica,CRI,2016,206.86
Costa Rica,CRI,2017,206.86
Costa Rica,CRI,2018,206.86
Costa Rica,CRI,2019,261.86
Costa Rica,CRI,2020,262
Croatia,HRV,1990,0
Croatia,HRV,1995,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,0
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0
Croatia,HRV,2010,0
Croatia,HRV,2011,0
Croatia,HRV,2012,0
Croatia,HRV,2013,0
Croatia,HRV,2014,0
Croatia,HRV,2015,0
Croatia,HRV,2016,0
Croatia,HRV,2017,0
Croatia,HRV,2018,10
Croatia,HRV,2019,10
Croatia,HRV,2020,10
El Salvador,SLV,1990,95
El Salvador,SLV,1995,105
El Salvador,SLV,2000,161.2
El Salvador,SLV,2001,161.2
El Salvador,SLV,2002,161.2
El Salvador,SLV,2003,161.2
El Salvador,SLV,2004,151.2
El Salvador,SLV,2005,151.2
El Salvador,SLV,2006,151.2
El Salvador,SLV,2007,204.4
El Salvador,SLV,2008,204.4
El Salvador,SLV,2009,204.4
El Salvador,SLV,2010,204.4
El Salvador,SLV,2011,204
El Salvador,SLV,2012,204.4
El Salvador,SLV,2013,204.4
El Salvador,SLV,2014,204.4
El Salvador,SLV,2015,204.4
El Salvador,SLV,2016,204.4
El Salvador,SLV,2017,204.4
El Salvador,SLV,2018,204.4
El Salvador,SLV,2019,204.4
El Salvador,SLV,2020,204
Ethiopia,ETH,1990,0
Ethiopia,ETH,1995,0
Ethiopia,ETH,2000,7.3
Ethiopia,ETH,2001,7.3
Ethiopia,ETH,2002,7.3
Ethiopia,ETH,2003,7.3
Ethiopia,ETH,2004,7.3
Ethiopia,ETH,2005,7.3
Ethiopia,ETH,2006,7.3
Ethiopia,ETH,2007,7.3
Ethiopia,ETH,2008,7.3
Ethiopia,ETH,2009,7.3
Ethiopia,ETH,2010,7.3
Ethiopia,ETH,2011,7.3
Ethiopia,ETH,2012,7.3
Ethiopia,ETH,2013,7.3
Ethiopia,ETH,2014,7.3
Ethiopia,ETH,2015,7.3
Ethiopia,ETH,2016,7.3
Ethiopia,ETH,2017,7.3
Ethiopia,ETH,2018,7.3
Ethiopia,ETH,2019,7.3
Ethiopia,ETH,2020,7
Europe,,1990,617.6
Europe,,1995,710.9
Europe,,2000,794
Europe,,2001,807
Europe,,2002,902
Europe,,2003,940
Europe,,2004,875.2
Europe,,2005,933.1
Europe,,2006,1142.1
Europe,,2007,1207.9
Europe,,2008,1304.9
Europe,,2009,1380.9
Europe,,2010,1430.9
Europe,,2011,1555.2
Europe,,2012,1612.2
Europe,,2013,1773.2
Europe,,2014,1909.265
Europe,,2015,2128.2650000000003
Europe,,2016,2327.484
Europe,,2017,2621.855
Europe,,2018,2899.655
Europe,,2019,3136.665
Europe,,2020,3265
France,FRA,1990,4.2
France,FRA,1995,4.2
France,FRA,2000,0
France,FRA,2001,0
France,FRA,2002,0
France,FRA,2003,0
France,FRA,2004,0
France,FRA,2005,0
France,FRA,2006,0
France,FRA,2007,0
France,FRA,2008,0
France,FRA,2009,0
France,FRA,2010,0
France,FRA,2011,16.3
France,FRA,2012,15.3
France,FRA,2013,16.3
France,FRA,2014,16.3
France,FRA,2015,16.3
France,FRA,2016,15.51
France,FRA,2017,15.9
France,FRA,2018,15.9
France,FRA,2019,15.9
France,FRA,2020,16
Germany,DEU,1990,0
Germany,DEU,1995,0
Germany,DEU,2000,0
Germany,DEU,2001,0
Germany,DEU,2002,0
Germany,DEU,2003,0
Germany,DEU,2004,0.2
Germany,DEU,2005,0.2
Germany,DEU,2006,0.2
Germany,DEU,2007,3
Germany,DEU,2008,3
Germany,DEU,2009,8
Germany,DEU,2010,8
Germany,DEU,2011,6
Germany,DEU,2012,16
Germany,DEU,2013,26
Germany,DEU,2014,29
Germany,DEU,2015,29
Germany,DEU,2016,33
Germany,DEU,2017,32
Germany,DEU,2018,35
Germany,DEU,2019,40
Germany,DEU,2020,40
Guatemala,GTM,1990,0
Guatemala,GTM,1995,0
Guatemala,GTM,2000,29
Guatemala,GTM,2001,29
Guatemala,GTM,2002,29
Guatemala,GTM,2003,29
Guatemala,GTM,2004,29
Guatemala,GTM,2005,29
Guatemala,GTM,2006,54.2
Guatemala,GTM,2007,54.2
Guatemala,GTM,2008,54.2
Guatemala,GTM,2009,54.2
Guatemala,GTM,2010,54.2
Guatemala,GTM,2011,54.2
Guatemala,GTM,2012,54.2
Guatemala,GTM,2013,49.2
Guatemala,GTM,2014,49.2
Guatemala,GTM,2015,49.2
Guatemala,GTM,2016,49.2
Guatemala,GTM,2017,49.2
Guatemala,GTM,2018,49.2
Guatemala,GTM,2019,52
Guatemala,GTM,2020,49
Honduras,HND,1990,0
Honduras,HND,1995,0
Honduras,HND,2000,0
Honduras,HND,2001,0
Honduras,HND,2002,0
Honduras,HND,2003,0
Honduras,HND,2004,0
Honduras,HND,2005,0
Honduras,HND,2006,0
Honduras,HND,2007,0
Honduras,HND,2008,0
Honduras,HND,2009,0
Honduras,HND,2010,0
Honduras,HND,2011,0
Honduras,HND,2012,0
Honduras,HND,2013,0
Honduras,HND,2014,0
Honduras,HND,2015,0
Honduras,HND,2016,0
Honduras,HND,2017,35
Honduras,HND,2018,35
Honduras,HND,2019,35
Honduras,HND,2020,39
Iceland,ISL,1990,44.8
Iceland,ISL,1995,49.6
Iceland,ISL,2000,172
Iceland,ISL,2001,202
Iceland,ISL,2002,202
Iceland,ISL,2003,202
Iceland,ISL,2004,202
Iceland,ISL,2005,232
Iceland,ISL,2006,422
Iceland,ISL,2007,485
Iceland,ISL,2008,575
Iceland,ISL,2009,575
Iceland,ISL,2010,575
Iceland,ISL,2011,665
Iceland,ISL,2012,665
Iceland,ISL,2013,665
Iceland,ISL,2014,665
Iceland,ISL,2015,665
Iceland,ISL,2016,665
Iceland,ISL,2017,710
Iceland,ISL,2018,756
Iceland,ISL,2019,756
Iceland,ISL,2020,756
Indonesia,IDN,2000,525
Indonesia,IDN,2001,785
Indonesia,IDN,2002,785
Indonesia,IDN,2003,805
Indonesia,IDN,2004,820
Indonesia,IDN,2005,850
Indonesia,IDN,2006,850
Indonesia,IDN,2007,980
Indonesia,IDN,2008,1052
Indonesia,IDN,2009,1189
Indonesia,IDN,2010,1189
Indonesia,IDN,2011,1226
Indonesia,IDN,2012,1336
Indonesia,IDN,2013,1343.5
Indonesia,IDN,2014,1403.5
Indonesia,IDN,2015,1438
Indonesia,IDN,2016,1533
Indonesia,IDN,2017,1808
Indonesia,IDN,2018,1948
Indonesia,IDN,2019,2130.5
Indonesia,IDN,2020,2131
Italy,ITA,1990,545
Italy,ITA,1995,631.7
Italy,ITA,2000,590
Italy,ITA,2001,573
Italy,ITA,2002,666
Italy,ITA,2003,707
Italy,ITA,2004,642
Italy,ITA,2005,671
Italy,ITA,2006,671
Italy,ITA,2007,671
Italy,ITA,2008,671
Italy,ITA,2009,695
Italy,ITA,2010,728
Italy,ITA,2011,728
Italy,ITA,2012,728
Italy,ITA,2013,729
Italy,ITA,2014,768
Italy,ITA,2015,768
Italy,ITA,2016,767
Italy,ITA,2017,767.19
Italy,ITA,2018,767.19
Italy,ITA,2019,767
Italy,ITA,2020,797
Japan,JPN,1990,214.6
Japan,JPN,1995,413.7
Japan,JPN,2000,533
Japan,JPN,2001,533
Japan,JPN,2002,533
Japan,JPN,2003,535
Japan,JPN,2004,535
Japan,JPN,2005,535
Japan,JPN,2006,532
Japan,JPN,2007,532
Japan,JPN,2008,532
Japan,JPN,2009,535
Japan,JPN,2010,537
Japan,JPN,2011,537
Japan,JPN,2012,512
Japan,JPN,2013,512
Japan,JPN,2014,508
Japan,JPN,2015,516
Japan,JPN,2016,526
Japan,JPN,2017,481
Japan,JPN,2018,482
Japan,JPN,2019,525
Japan,JPN,2020,525
Kenya,KEN,1990,45
Kenya,KEN,1995,45
Kenya,KEN,2000,58
Kenya,KEN,2001,58
Kenya,KEN,2002,58
Kenya,KEN,2003,58
Kenya,KEN,2004,128
Kenya,KEN,2005,128
Kenya,KEN,2006,128
Kenya,KEN,2007,128
Kenya,KEN,2008,128
Kenya,KEN,2009,163
Kenya,KEN,2010,198
Kenya,KEN,2011,198
Kenya,KEN,2012,205.5
Kenya,KEN,2013,205.5
Kenya,KEN,2014,366.1
Kenya,KEN,2015,604
Kenya,KEN,2016,638
Kenya,KEN,2017,648
Kenya,KEN,2018,664
Kenya,KEN,2019,824
Kenya,KEN,2020,824
Mexico,MEX,1990,743
Mexico,MEX,1995,743
Mexico,MEX,2000,855
Mexico,MEX,2001,838
Mexico,MEX,2002,843
Mexico,MEX,2003,960
Mexico,MEX,2004,960
Mexico,MEX,2005,960
Mexico,MEX,2006,960
Mexico,MEX,2007,960
Mexico,MEX,2008,963
Mexico,MEX,2009,965
Mexico,MEX,2010,965
Mexico,MEX,2011,887
Mexico,MEX,2012,824
Mexico,MEX,2013,823
Mexico,MEX,2014,813
Mexico,MEX,2015,906
Mexico,MEX,2016,926
Mexico,MEX,2017,925.7
Mexico,MEX,2018,950.6
Mexico,MEX,2019,935.6
Mexico,MEX,2020,906
New Zealand,NZL,1990,261
New Zealand,NZL,1995,265
New Zealand,NZL,2000,418
New Zealand,NZL,2001,417
New Zealand,NZL,2002,373
New Zealand,NZL,2003,378
New Zealand,NZL,2004,378
New Zealand,NZL,2005,433
New Zealand,NZL,2006,433
New Zealand,NZL,2007,451
New Zealand,NZL,2008,593
New Zealand,NZL,2009,633
New Zealand,NZL,2010,731
New Zealand,NZL,2011,726
New Zealand,NZL,2012,726
New Zealand,NZL,2013,798
New Zealand,NZL,2014,924
New Zealand,NZL,2015,941
New Zealand,NZL,2016,941
New Zealand,NZL,2017,941
New Zealand,NZL,2018,952
New Zealand,NZL,2019,952
New Zealand,NZL,2020,984
Nicaragua,NIC,1990,35
Nicaragua,NIC,1995,70
Nicaragua,NIC,2000,21
Nicaragua,NIC,2001,26
Nicaragua,NIC,2002,77.5
Nicaragua,NIC,2003,77.5
Nicaragua,NIC,2004,77.5
Nicaragua,NIC,2005,87.5
Nicaragua,NIC,2006,87.5
Nicaragua,NIC,2007,87.5
Nicaragua,NIC,2008,87.5
Nicaragua,NIC,2009,87.5
Nicaragua,NIC,2010,87.5
Nicaragua,NIC,2011,87.5
Nicaragua,NIC,2012,164.5
Nicaragua,NIC,2013,154.5
Nicaragua,NIC,2014,154.5
Nicaragua,NIC,2015,154.5
Nicaragua,NIC,2016,154.5
Nicaragua,NIC,2017,154.5
Nicaragua,NIC,2018,154.5
Nicaragua,NIC,2019,153.24
Nicaragua,NIC,2020,153
North America,,1990,3656.5
North America,,1995,3913.96
North America,,2000,3648
North America,,2001,3054
North America,,2002,3095
North America,,2003,3093
North America,,2004,3112
North America,,2005,3245
North America,,2006,3234
North America,,2007,3174
North America,,2008,3192
North America,,2009,3347
North America,,2010,3370
North America,,2011,3296
North America,,2012,3416
North America,,2013,3430
North America,,2014,3327
North America,,2015,3448
North America,,2016,3443
North America,,2017,3408.7
North America,,2018,3491.1
North America,,2019,3490.9
North America,,2020,3493
Other Europe,,1990,0
Other Europe,,1995,0
Other Europe,,2000,0
Other Europe,,2001,0
Other Europe,,2002,2
Other Europe,,2003,2
Other Europe,,2004,2
Other Europe,,2005,0.8999999999999773
Other Europe,,2006,0.8999999999998636
Other Europe,,2007,0.900000000000091
Other Europe,,2008,0.900000000000091
Other Europe,,2009,0.900000000000091
Other Europe,,2010,0.900000000000091
Other Europe,,2011,0.900000000000091
Other Europe,,2012,0.900000000000091
Other Europe,,2013,0.900000000000091
Other Europe,,2014,0.9650000000001456
Other Europe,,2015,0.9650000000001456
Other Europe,,2016,0.9739999999997052
Other Europe,,2017,3.9649999999996903
Other Europe,,2018,3.9649999999996903
Other Europe,,2019,3.9650000000001455
Other Europe,,2020,4
Other South & Central America,,1990,0
Other South & Central America,,1995,0
Other South & Central America,,2000,4.600000000000023
Other South & Central America,,2001,4.600000000000023
Other South & Central America,,2002,4.600000000000023
Other South & Central America,,2003,4.600000000000023
Other South & Central America,,2004,4.600000000000023
Other South & Central America,,2005,15.600000000000025
Other South & Central America,,2006,15.60000000000008
Other South & Central America,,2007,15.599999999999966
Other South & Central America,,2008,15.599999999999966
Other South & Central America,,2009,14.999999999999943
Other South & Central America,,2010,14.999999999999943
Other South & Central America,,2011,15
Other South & Central America,,2012,15
Other South & Central America,,2013,15
Other South & Central America,,2014,15
Other South & Central America,,2015,15
Other South & Central America,,2016,15
Other South & Central America,,2017,15
Other South & Central America,,2018,15
Other South & Central America,,2019,15
Other South & Central America,,2020,15
Papua New Guinea,PNG,1990,0
Papua New Guinea,PNG,1995,0
Papua New Guinea,PNG,2000,0
Papua New Guinea,PNG,2001,0
Papua New Guinea,PNG,2002,0
Papua New Guinea,PNG,2003,6
Papua New Guinea,PNG,2004,6
Papua New Guinea,PNG,2005,36
Papua New Guinea,PNG,2006,36
Papua New Guinea,PNG,2007,56
Papua New Guinea,PNG,2008,56
Papua New Guinea,PNG,2009,56
Papua New Guinea,PNG,2010,56
Papua New Guinea,PNG,2011,56
Papua New Guinea,PNG,2012,56
Papua New Guinea,PNG,2013,56
Papua New Guinea,PNG,2014,56
Papua New Guinea,PNG,2015,56
Papua New Guinea,PNG,2016,56
Papua New Guinea,PNG,2017,56
Papua New Guinea,PNG,2018,56
Papua New Guinea,PNG,2019,56
Papua New Guinea,PNG,2020,56
Philippines,PHL,1990,888
Philippines,PHL,1995,1154
Philippines,PHL,2000,1846.5
Philippines,PHL,2001,1846.5
Philippines,PHL,2002,1846.5
Philippines,PHL,2003,1846.5
Philippines,PHL,2004,1846.5
Philippines,PHL,2005,1846.5
Philippines,PHL,2006,1846.5
Philippines,PHL,2007,1846.5
Philippines,PHL,2008,1846.5
Philippines,PHL,2009,1846.5
Philippines,PHL,2010,1846.5
Philippines,PHL,2011,1846.5
Philippines,PHL,2012,1846.5
Philippines,PHL,2013,1846.5
Philippines,PHL,2014,1916.1
Philippines,PHL,2015,1916.1
Philippines,PHL,2016,1916.1
Philippines,PHL,2017,1916.1
Philippines,PHL,2018,1928.1
Philippines,PHL,2019,1928.1
Philippines,PHL,2020,1928
Portugal,PRT,1990,3
Portugal,PRT,1995,5
Portugal,PRT,2000,14
Portugal,PRT,2001,14
Portugal,PRT,2002,14
Portugal,PRT,2003,14
Portugal,PRT,2004,14
Portugal,PRT,2005,14
Portugal,PRT,2006,25
Portugal,PRT,2007,25
Portugal,PRT,2008,25
Portugal,PRT,2009,25
Portugal,PRT,2010,25
Portugal,PRT,2011,25
Portugal,PRT,2012,25
Portugal,PRT,2013,25
Portugal,PRT,2014,25
Portugal,PRT,2015,25
Portugal,PRT,2016,25
Portugal,PRT,2017,29.1
Portugal,PRT,2018,29.1
Portugal,PRT,2019,29.1
Portugal,PRT,2020,29
Russia,RUS,1990,11
Russia,RUS,1995,11
Russia,RUS,2000,23
Russia,RUS,2001,21
Russia,RUS,2002,70
Russia,RUS,2003,70
Russia,RUS,2004,56
Russia,RUS,2005,79
Russia,RUS,2006,87
Russia,RUS,2007,90
Russia,RUS,2008,80
Russia,RUS,2009,81
Russia,RUS,2010,81
Russia,RUS,2011,81
Russia,RUS,2012,81
Russia,RUS,2013,79
Russia,RUS,2014,78
Russia,RUS,2015,78
Russia,RUS,2016,78
Russia,RUS,2017,74
Russia,RUS,2018,74
Russia,RUS,2019,74
Russia,RUS,2020,74
South & Central America,,1990,130
South & Central America,,1995,230
South & Central America,,2000,360.8
South & Central America,,2001,365.8
South & Central America,,2002,417
South & Central America,,2003,435
South & Central America,,2004,428
South & Central America,,2005,449
South & Central America,,2006,474.2000000000001
South & Central America,,2007,527.4
South & Central America,,2008,527.4
South & Central America,,2009,526.8
South & Central America,,2010,526.8
South & Central America,,2011,578.2
South & Central America,,2012,655.5999999999999
South & Central America,,2013,640.5999999999999
South & Central America,,2014,640.5999999999999
South & Central America,,2015,640.46
South & Central America,,2016,629.96
South & Central America,,2017,688.96
South & Central America,,2018,712.96
South & Central America,,2019,761.2
South & Central America,,2020,762
Turkey,TUR,1990,20.6
Turkey,TUR,1995,20.4
Turkey,TUR,2000,18
Turkey,TUR,2001,18
Turkey,TUR,2002,18
Turkey,TUR,2003,15
Turkey,TUR,2004,15
Turkey,TUR,2005,15
Turkey,TUR,2006,23
Turkey,TUR,2007,23
Turkey,TUR,2008,30
Turkey,TUR,2009,77
Turkey,TUR,2010,94
Turkey,TUR,2011,114
Turkey,TUR,2012,162
Turkey,TUR,2013,311
Turkey,TUR,2014,405
Turkey,TUR,2015,624
Turkey,TUR,2016,821
Turkey,TUR,2017,1063.7
Turkey,TUR,2018,1282.5
Turkey,TUR,2019,1514.7
Turkey,TUR,2020,1613
United States,USA,1990,2913.5
United States,USA,1995,3170.96
United States,USA,2000,2793
United States,USA,2001,2216
United States,USA,2002,2252
United States,USA,2003,2133
United States,USA,2004,2152
United States,USA,2005,2285
United States,USA,2006,2274
United States,USA,2007,2214
United States,USA,2008,2229
United States,USA,2009,2382
United States,USA,2010,2405
United States,USA,2011,2409
United States,USA,2012,2592
United States,USA,2013,2607
United States,USA,2014,2514
United States,USA,2015,2542
United States,USA,2016,2517
United States,USA,2017,2483
United States,USA,2018,2540.5
United States,USA,2019,2555.3
United States,USA,2020,2587
World,OWID_WRL,1975,1300
World,OWID_WRL,1980,3887
World,OWID_WRL,1985,4764
World,OWID_WRL,1990,5853.5
World,OWID_WRL,1995,6770.36
World,OWID_WRL,2000,8235.8
World,OWID_WRL,2001,7916.8
World,OWID_WRL,2002,8109
World,OWID_WRL,2003,8195.9
World,OWID_WRL,2004,8214.1
World,OWID_WRL,2005,8564.1
World,OWID_WRL,2006,8792.2
World,OWID_WRL,2007,9022.2
World,OWID_WRL,2008,9344.3
World,OWID_WRL,2009,9790.7
World,OWID_WRL,2010,9998
World,OWID_WRL,2011,10133.4
World,OWID_WRL,2012,10480.3
World,OWID_WRL,2013,10717.6
World,OWID_WRL,2014,11161.815
World,OWID_WRL,2015,11798.875
World,OWID_WRL,2016,12121.594
World,OWID_WRL,2017,12680.665
World,OWID_WRL,2018,13244.865
World,OWID_WRL,2019,13911.665
World,OWID_WRL,2020,14075
