external_ref,status,source,chargeback
_qAUhES1gsJaXFQDQnhhx,TRUE,GLOBALPAY,FALSE
_qFEABZme3kTsHiSclp1e,TRUE,GLOBALPAY,FALSE
_QhAAhQhIwDJ1rU91aBSy,TRUE,GLOBALPAY,FALSE
_qOgyxAErOTDAVeftrByb,TRUE,GLOBALPAY,FALSE
_QuaETNQKfWV2kvUhI3CW,TRUE,GLOBALPAY,FALSE
_QvHGVmw0bp3Nsem5lvNr,TRUE,GLOBALPAY,FALSE
_rEoYDyUivaQyg77Hvbyu,TRUE,GLOBALPAY,FALSE
_rZL1aszB3MmeUx9U8CXq,TRUE,GLOBALPAY,FALSE
_S1vZUFPF-DhmoUYKNI8G,TRUE,GLOBALPAY,FALSE
_swBp4cjTk2p2A5unmqXC,TRUE,GLOBALPAY,FALSE
_SXXz09fBEXPFiiFn75Gg,TRUE,GLOBALPAY,FALSE
_sy6rbUdNwLPdN_9kRMyr,TRUE,GLOBALPAY,FALSE
_TukhgOU5CcpgVtced7a-,TRUE,GLOBALPAY,FALSE
_tXUmRetxc1eiiA9CVy5H,TRUE,GLOBALPAY,FALSE
_u4nhmEPD1UgumYHnHo32,TRUE,GLOBALPAY,FALSE
_ugC1-mNe32D3qsMBRqYw,TRUE,GLOBALPAY,FALSE
_UIn39WNSp-1lXlNpLzlf,TRUE,GLOBALPAY,FALSE
_VF1iOjzLBYObxMaMcc2o,TRUE,GLOBALPAY,TRUE
_VOL6ueLTV1Z_sTP57bu9,TRUE,GLOBALPAY,FALSE
_vq07wvN3NYdfSYztYwXw,TRUE,GLOBALPAY,FALSE
_VrNSCZTQhWWvGp4qkYGB,TRUE,GLOBALPAY,FALSE
_W4MosZ8v7elHrLxPdcAW,TRUE,GLOBALPAY,FALSE
_wdtBR36-2CGGowXBh3UK,TRUE,GLOBALPAY,FALSE
_whluPhTwHZrppqIHm2GX,TRUE,GLOBALPAY,FALSE
_WHq6Gd0Do9ECKbE5765_,TRUE,GLOBALPAY,FALSE
_x3eI8077_W9VSoc7DP8o,TRUE,GLOBALPAY,FALSE
_xdKGgs7eRhg8_YGLaIqM,TRUE,GLOBALPAY,FALSE
_XwswYl0D67Z-2yDR7QbT,TRUE,GLOBALPAY,FALSE
_YETI56EmIkrR02MIL7Ky,TRUE,GLOBALPAY,FALSE
_YJM0Om15xXN4GgA5WZIJ,TRUE,GLOBALPAY,FALSE
_zerM4ko__mRcCZdl4_YK,TRUE,GLOBALPAY,FALSE
_Zh6WxkjtHgNmZvTA6R8F,TRUE,GLOBALPAY,FALSE
_ZhdA5GjjrPkYxkD9kjsb,TRUE,GLOBALPAY,FALSE
_zKfB2ROSswcwgkgYju3O,TRUE,GLOBALPAY,FALSE
_zluGR9d4maL8H6ykTv5B,TRUE,GLOBALPAY,FALSE
_zoC5_2OciZFDfUP6naU5,TRUE,GLOBALPAY,FALSE
_zP890ZOYtefXD8vptVM8,TRUE,GLOBALPAY,FALSE
_Zq9Wt6vFoaep0cJkuM5u,TRUE,GLOBALPAY,FALSE
-_eEafKn8M04w9EQ3ec5u,TRUE,GLOBALPAY,FALSE
-_q4NCaKktKZtP0iaFpJD,TRUE,GLOBALPAY,FALSE
-_sfsRUXaHYsKGR_MDY3P,TRUE,GLOBALPAY,FALSE
--eF3ueX-mUnhxwnZrijY,TRUE,GLOBALPAY,FALSE
--HnLxBy7iePIC7TO5J9x,TRUE,GLOBALPAY,FALSE
-1q2i_DHXlxTAhM_j31-h,TRUE,GLOBALPAY,FALSE
-2Bvfu1meFh2ONq0CR0ie,TRUE,GLOBALPAY,FALSE
-3LMg3ttrcaXOGD2o0M-m,TRUE,GLOBALPAY,FALSE
-4-fZVGC9c2SYl6CJgijO,TRUE,GLOBALPAY,FALSE
-6FNBKvOSpcDGMGlz24f_,TRUE,GLOBALPAY,FALSE
-7a9jKHknKX5YC_I38r02,TRUE,GLOBALPAY,FALSE
-7OB1m8k_Yqg0GemWQ0gs,TRUE,GLOBALPAY,FALSE
-A-GFA7cQQR4mwUXWPcMW,TRUE,GLOBALPAY,FALSE
-a6e3g0js3-6O15JjzHv8,TRUE,GLOBALPAY,FALSE
-ahDihrd6BtHLe3RFtPVD,TRUE,GLOBALPAY,FALSE
-aISfYky4p18FITJaWahH,TRUE,GLOBALPAY,FALSE
-akQ2eB9LY4obYvTHPeaV,TRUE,GLOBALPAY,FALSE
-Awym0KfiBX00shR3o1D9,TRUE,GLOBALPAY,FALSE
-b6No9ZdHIfZwaptfM5AA,TRUE,GLOBALPAY,FALSE
-b9IHhN5C71S6JiHs03au,TRUE,GLOBALPAY,FALSE
-BHlHHY9dSRmvVV-mbu7u,TRUE,GLOBALPAY,FALSE
-bTcJVgl7NBjDjdbvMKg1,TRUE,GLOBALPAY,FALSE
-BUJALJ9rpqUP5L7eC8mT,TRUE,GLOBALPAY,FALSE
-CfRxZMhzGJyY_jmyMV8j,TRUE,GLOBALPAY,FALSE
-CPS166aVhUgt2w8yyuZW,TRUE,GLOBALPAY,FALSE
-cZm8X0qUnHlT3o1hz-KQ,TRUE,GLOBALPAY,FALSE
-ejriPePG5qgW5Aaf9b8j,TRUE,GLOBALPAY,FALSE
-f_Q-ywUSivQhVI9P1dZK,TRUE,GLOBALPAY,FALSE
-F1ZkBfwjZDiMwDiebH5T,TRUE,GLOBALPAY,FALSE
-fC-keY_-SNFcIhbIfWog,TRUE,GLOBALPAY,FALSE
-GH6L8vt-cMRi8lsIGkzG,TRUE,GLOBALPAY,FALSE
-gkIKE5lv6w30S9O7zwb-,TRUE,GLOBALPAY,FALSE
-go2LQpdpOdeqFHPXt32b,TRUE,GLOBALPAY,FALSE
-GoIBqg6LKkh699AqFCKv,TRUE,GLOBALPAY,FALSE
-goKH_yYqHW_IXuhjPCTS,TRUE,GLOBALPAY,FALSE
-hcpH0psvNmsT-YmYi-G2,TRUE,GLOBALPAY,FALSE
-Hdhu0pXLcEjKsYAZ-ka2,TRUE,GLOBALPAY,FALSE
-IB-2DhvhyegG9qK-kdbg,TRUE,GLOBALPAY,FALSE
-J8TjjfWQyK6PPT7hXFIZ,TRUE,GLOBALPAY,FALSE
-KPx85f_KfPwK_7BPojLP,TRUE,GLOBALPAY,FALSE
-L_v2TbNV1wt2E6Goqv0E,TRUE,GLOBALPAY,FALSE
-LdDeNmhzJoNyRU2WvoqD,TRUE,GLOBALPAY,FALSE
-lDOuLvBBEOE7lv_6c1Vk,TRUE,GLOBALPAY,FALSE
-lhFXrJIeEKIgDH601hPu,TRUE,GLOBALPAY,FALSE
-lHUhU60qV70Xzn7njZXY,TRUE,GLOBALPAY,FALSE
-LKrBnGzhONzta0k3SjBb,TRUE,GLOBALPAY,FALSE
-Lm6OGjiZTdvVAhM70Ekr,TRUE,GLOBALPAY,FALSE
-LREGMKC-exRPP4Ra0wW2,TRUE,GLOBALPAY,FALSE
-LxD1Wurq_pvBdHsYZKkf,TRUE,GLOBALPAY,FALSE
-MC29RRx4v2dgEdfWuJX-,TRUE,GLOBALPAY,FALSE
-Mewuj0AyGrVVy5knIPko,TRUE,GLOBALPAY,FALSE
-Mfztu50U-PTYUR3a2cdT,TRUE,GLOBALPAY,FALSE
-Mv_rwN74YmT0cQKXZMQe,TRUE,GLOBALPAY,FALSE
-N02Sx3gM76RBRqzQH09r,TRUE,GLOBALPAY,FALSE
-n49dT3KPaI9KrEpBUNQm,TRUE,GLOBALPAY,FALSE
-NUPzgP6BMQhtEKYIs_Wu,TRUE,GLOBALPAY,FALSE
-NWWJ-8mzEF0wSq73_I2U,TRUE,GLOBALPAY,FALSE
-oHpjlSw-uwPj7wG9yRuL,TRUE,GLOBALPAY,FALSE
-oNbXTjzWvN778JDaBN83,TRUE,GLOBALPAY,FALSE
-OoOZ8-IqSEeIWc55T0y5,TRUE,GLOBALPAY,FALSE
-P5taGRAXn570cwYBIsxv,TRUE,GLOBALPAY,FALSE
-PDHWl1VkESnDNHSe1AEU,TRUE,GLOBALPAY,FALSE
-peBAJ4yZBqkcIQXpx3vl,TRUE,GLOBALPAY,FALSE
-pIWynWAkVFq-Q1oS7MYZ,TRUE,GLOBALPAY,FALSE
-pJYAP-hMoi-jJMS6BFl3,TRUE,GLOBALPAY,FALSE
-PjzYyxM6m_W9M-sDpXzA,TRUE,GLOBALPAY,FALSE
-pLIGhbGTRwdxRrkt_R1z,TRUE,GLOBALPAY,FALSE
-q-pVerIzrsWXj2QCRU67,TRUE,GLOBALPAY,FALSE
-qvhxNHavYH7SYYvw4Zgg,TRUE,GLOBALPAY,FALSE
-R7eqYpo8UpQnTy6F-Mn5,TRUE,GLOBALPAY,FALSE
-R9COe0gGXhjZUe4F_KqI,TRUE,GLOBALPAY,FALSE
-rBq2xTDI4sIEtAfdzLQ_,TRUE,GLOBALPAY,FALSE
-RGRebNGQz95jjMa3Mmhz,TRUE,GLOBALPAY,FALSE
-RjJM6Njg_RtFKn7TvhEP,TRUE,GLOBALPAY,FALSE
-SuM7MiB7AKLS5pAOffy_,TRUE,GLOBALPAY,FALSE
-T5f3fRxO2-RTAYnefufF,TRUE,GLOBALPAY,FALSE
-TcMUUOzH-voTZQPhl8aI,TRUE,GLOBALPAY,FALSE
-TE1e5Ut7ZGv7PJSOAh6Z,TRUE,GLOBALPAY,FALSE
-tntAR6S7OUrvyRC2AQyM,TRUE,GLOBALPAY,FALSE
-tQVVVTZlJ4gNLcXqrllf,TRUE,GLOBALPAY,FALSE
-UENaBTMMiElsZ1AMeCYn,TRUE,GLOBALPAY,FALSE
-uPSfEQALltBqH7_VOBFm,TRUE,GLOBALPAY,FALSE
-VGNjsiOILM_VJJvjV3MZ,TRUE,GLOBALPAY,FALSE
-vovSFhnOpqTQVOm2MFme,TRUE,GLOBALPAY,TRUE
-vyXlNzVv_dJlwmyJ9lp_,TRUE,GLOBALPAY,FALSE
-W-bjds7spZvwioN4nCip,TRUE,GLOBALPAY,FALSE
-wkz_Eyg0CSmcRKV2lnB-,TRUE,GLOBALPAY,FALSE
-x5NGLZTK97FTAQ5jbhqz,TRUE,GLOBALPAY,FALSE
-xP-rCozl6UYdYWn7P9uy,TRUE,GLOBALPAY,FALSE
-yqbz7Jygl63GQmums1DT,TRUE,GLOBALPAY,FALSE
-YSAIKXqV_HwjUsRTImBl,TRUE,GLOBALPAY,FALSE
-zHxptYTBNscRL0E1RuGe,TRUE,GLOBALPAY,FALSE
-ZS3IZuxiqF20z7QMFb6_,TRUE,GLOBALPAY,FALSE
-ZzOcGHiTkYEgMAinzJg6,TRUE,GLOBALPAY,FALSE
0-xTc97W82A8BHAdJmDE4,TRUE,GLOBALPAY,FALSE
00-DS-592C056YVEdUEl2,TRUE,GLOBALPAY,FALSE
00rarvzstjRWyaBSrOLGr,TRUE,GLOBALPAY,FALSE
00V9HB5nUOK-9KtshM8zZ,TRUE,GLOBALPAY,FALSE
016urHipGp8r20V6umxYN,TRUE,GLOBALPAY,FALSE
01bKE7vYG_BccoEAGgZxk,TRUE,GLOBALPAY,FALSE
01F1FYczeo25i51I1fyE1,TRUE,GLOBALPAY,FALSE
02jLAEz2L_-Ki3V9oYvqL,TRUE,GLOBALPAY,FALSE
03kOQ3oboSydyDUL6xgm-,TRUE,GLOBALPAY,FALSE
05aU9Ai2EnALrW0pPhvEz,TRUE,GLOBALPAY,FALSE
06sB4Wy3zwum1UtSFTe6E,TRUE,GLOBALPAY,FALSE
06sKq-UlnWK1vzDvny0HN,TRUE,GLOBALPAY,FALSE
06URPgorAfHAjitpcfrWt,TRUE,GLOBALPAY,FALSE
07WK1oB4tAeotUInBKMLU,TRUE,GLOBALPAY,FALSE
08jkV0hZHzwERTeX7DJV3,TRUE,GLOBALPAY,FALSE
08Nj4gySjvC4mudCkBSOn,TRUE,GLOBALPAY,FALSE
08WcUI_Zbg6guV4p47Ko_,TRUE,GLOBALPAY,FALSE
08XOZhz8-YCLCplrkDDYl,TRUE,GLOBALPAY,FALSE
09CFgUBm2U-pb4PIMQaYg,TRUE,GLOBALPAY,FALSE
09Yj9EMnP82q5mWZ7LS65,TRUE,GLOBALPAY,FALSE
0APBYwmbmfcWdWcdQyuAm,TRUE,GLOBALPAY,FALSE
0B6bBqrqVtLa6EiHJZSEH,TRUE,GLOBALPAY,FALSE
0bK6mUeYQdDBUHRe4PoTR,TRUE,GLOBALPAY,TRUE
0dUNELGSNK1xLXsgyNeYg,TRUE,GLOBALPAY,FALSE
0eIspuS6dCnOs6wOftzDW,TRUE,GLOBALPAY,FALSE
0ElbJHHFPiQ_T7A2tsp0t,TRUE,GLOBALPAY,FALSE
0eo2t45TmfYD_7VAKAf5M,TRUE,GLOBALPAY,FALSE
0EsjQ1PcvAdohhhzttoQ1,TRUE,GLOBALPAY,FALSE
0eTdmWMC_tNP8Y7cErz2Q,TRUE,GLOBALPAY,FALSE
0FLAjCJ0273fdII9Aln05,TRUE,GLOBALPAY,FALSE
0FmPhsUKTGopkpEZ0H3yg,TRUE,GLOBALPAY,FALSE
0frHKbbjOeF79yH02VLBP,TRUE,GLOBALPAY,FALSE
0g4uf2Zw_-ky3RlrbQUja,TRUE,GLOBALPAY,FALSE
0h-AG5-ssMSq2fdwgMs-s,TRUE,GLOBALPAY,FALSE
0HakcjzvBLZR3kgDdwRmU,TRUE,GLOBALPAY,FALSE
0hnGL4cZYCiOxR1n3oi0B,TRUE,GLOBALPAY,FALSE
0hoAKts4R1zI9x4Va7HAt,TRUE,GLOBALPAY,FALSE
0hra2QlyUfc4Tm_L-CUk-,TRUE,GLOBALPAY,FALSE
0iB_FqE3Xgze7e4z4nRRG,TRUE,GLOBALPAY,FALSE
0jofeaH-PjyqxAjF5GyN0,TRUE,GLOBALPAY,FALSE
0jVI8LWB4hwqAU1x190by,TRUE,GLOBALPAY,FALSE
0jwrQowirJ7SeGWDwFTZb,TRUE,GLOBALPAY,FALSE
0kVI8_OZCcn1NxjjIO8pz,TRUE,GLOBALPAY,FALSE
0KX_FxMJ6yqaEFLet6kD_,TRUE,GLOBALPAY,FALSE
0LeE5_uJ3NLs_R_TnZ5-N,TRUE,GLOBALPAY,FALSE
0Lqio8CVTKpNcXNPIeHcJ,TRUE,GLOBALPAY,FALSE
0lQtEOcMCUWYMC3HFOGB4,TRUE,GLOBALPAY,FALSE
0mk1N2yi9dT7UtprCFseM,TRUE,GLOBALPAY,FALSE
0n2Qg32_o5znAmfoSLg7x,TRUE,GLOBALPAY,TRUE
0NXrQAGkzfxfNN-a4NGmP,TRUE,GLOBALPAY,FALSE
0NyWNkZoaHl6SEpKt9QYA,TRUE,GLOBALPAY,FALSE
0PfecatB3gMUp2rto0yy_,TRUE,GLOBALPAY,FALSE
0PWbI0wAPots8EBDZ0GUq,TRUE,GLOBALPAY,FALSE
0PwZsAy2DXjAug9lcWqxd,TRUE,GLOBALPAY,FALSE
0q1-06iDx40X9YHE4E5nj,TRUE,GLOBALPAY,FALSE
0q3hZWoPLVUb9pPRnhyzS,TRUE,GLOBALPAY,FALSE
0QoTMRKiYtg0LT-MWjOpX,TRUE,GLOBALPAY,FALSE
0rdQ663QPXeJqShb73MpL,TRUE,GLOBALPAY,FALSE
0REJ8i5jKh4zmNY3PwR8f,TRUE,GLOBALPAY,FALSE
0rti04hGP8pFXaSfc5zwI,TRUE,GLOBALPAY,FALSE
0S-og5tl4DLK_DZLMRZ8i,TRUE,GLOBALPAY,FALSE
0sGGJa6xNPm6JHkyqg4V9,TRUE,GLOBALPAY,FALSE
0ShfpXEUV3dU30dJ5JqB4,TRUE,GLOBALPAY,FALSE
0SL2dnO9BleU0_feTNNiD,TRUE,GLOBALPAY,FALSE
0sl4BkK-BnB6cjIM-AVWx,TRUE,GLOBALPAY,FALSE
0SXQd1kZjfTVl87HvY60y,TRUE,GLOBALPAY,FALSE
0szbOp1_O5_cbd0gDcI-j,TRUE,GLOBALPAY,FALSE
0t0nQq3gwFtrxMVKve3_U,TRUE,GLOBALPAY,FALSE
0TS3WVnEVQOGgXq4u5JEO,TRUE,GLOBALPAY,FALSE
0tT1tmp3FRp2Hxdu-Eply,TRUE,GLOBALPAY,FALSE
0U3zTaOM9h1jztFu9-zA-,TRUE,GLOBALPAY,FALSE
0UbBF6qN5jQgigrrzWaDH,TRUE,GLOBALPAY,FALSE
0urkiq0-_XI8UjfsWQC61,TRUE,GLOBALPAY,FALSE
0uwOw34UuvSJ0qTaaVq2y,TRUE,GLOBALPAY,FALSE
0v05CetmFQLf0Pz-XaBjn,TRUE,GLOBALPAY,FALSE
0VdwGKj6VN0BjHOoJrsgj,TRUE,GLOBALPAY,FALSE
0VSTuoGc7RyVL0ToBnuit,TRUE,GLOBALPAY,FALSE
0vT230azSuzWnM-hWLBlt,TRUE,GLOBALPAY,FALSE
0Vzf4l8f4HwIUoHPWTgEG,TRUE,GLOBALPAY,FALSE
0XANiyK_GtNWEPnhezu0y,TRUE,GLOBALPAY,FALSE
0XeT8CZ87L_V63EZV2kdr,TRUE,GLOBALPAY,FALSE
0XlfIJzadapb0H4TLuJQl,TRUE,GLOBALPAY,FALSE
0Y600DnV_we9pWTQmCSMe,TRUE,GLOBALPAY,FALSE
0yd1kTQLnI3vS6fJJu8EI,TRUE,GLOBALPAY,FALSE
0Yxmr9E6653O2AB4QO4xm,TRUE,GLOBALPAY,FALSE
0zB-tXAEvsj6lfPlF_jVk,TRUE,GLOBALPAY,FALSE
0zMNqSmmRugbXPu2ap2YW,TRUE,GLOBALPAY,FALSE
0zQ4KFlyyvRzpUfaZJ8B6,TRUE,GLOBALPAY,FALSE
1_8eKFJfFkBn84k2MLtko,TRUE,GLOBALPAY,FALSE
1_lTgQSmejXuDvhovsxTc,TRUE,GLOBALPAY,FALSE
1_ur2izLBQRfq4oiV9PIB,TRUE,GLOBALPAY,FALSE
1-_JjFMwp2nvXIYyMxez8,TRUE,GLOBALPAY,FALSE
10pu1t2K5-XXZux28U1jG,TRUE,GLOBALPAY,FALSE
1122Uvzad99Npy5ptOf1r,TRUE,GLOBALPAY,FALSE
1169rrcmWu1PKsmrIxXQE,TRUE,GLOBALPAY,FALSE
11ubQ6-uZvMfvLiWN0H_C,TRUE,GLOBALPAY,FALSE
12DE4LxMo2qGtphP926C5,TRUE,GLOBALPAY,FALSE
13epw_wCLkPDcRriPN11g,TRUE,GLOBALPAY,FALSE
14jG1AkdoxyRslatBLrTS,TRUE,GLOBALPAY,FALSE
14sdCx-49aKA30bV_9WK3,TRUE,GLOBALPAY,FALSE
16mOhQ5EFfvgkfoTGUjzj,TRUE,GLOBALPAY,FALSE
17FXvrtZCLFCJnpMEt3WW,TRUE,GLOBALPAY,FALSE
19c1STbuG79r7Azs04RJY,TRUE,GLOBALPAY,FALSE
19lw08qxYv9IDhGLdLqTo,TRUE,GLOBALPAY,FALSE
1a0ldmg5qdxwRguVL6ahb,TRUE,GLOBALPAY,FALSE
1AFPizzNT7syrJJEZs3s9,TRUE,GLOBALPAY,FALSE
1aqnGLqcS_uRXnYrj9cPK,TRUE,GLOBALPAY,FALSE
1Aqx8CSYzJHYFXgGt1HuW,TRUE,GLOBALPAY,FALSE
1ARrHZdDdJ0OH0lUkGZL_,TRUE,GLOBALPAY,FALSE
1avdjG0aMo4enPGS2iStn,TRUE,GLOBALPAY,FALSE
1aw90LyfcUt7OmHVL1LS7,TRUE,GLOBALPAY,FALSE
1BXCOig2cwOao0VgmPUnb,TRUE,GLOBALPAY,FALSE
1cig2wRt3yHMFMhVqvOre,TRUE,GLOBALPAY,FALSE
1CNPRMUvoN5wHEqpdGeub,TRUE,GLOBALPAY,FALSE
1CZr9dqWU2IZ2m4xvJipg,TRUE,GLOBALPAY,FALSE
1cztf2cEtb_vRWv6lCBfE,TRUE,GLOBALPAY,TRUE
1dctW5m7yU8w03RQBLL9V,TRUE,GLOBALPAY,FALSE
1deaqHrE80NoJabKr4QI5,TRUE,GLOBALPAY,FALSE
1dN7-m5c1IGjdtE3lVgnN,TRUE,GLOBALPAY,FALSE
1DZ5oHeyjDDqDBvS8Yyf7,TRUE,GLOBALPAY,FALSE
1EkyZmOi0DNPeSmU9jaUD,TRUE,GLOBALPAY,FALSE
1es2g5NFiXbVwstUOa-Vi,TRUE,GLOBALPAY,FALSE
1g2GpylCkuB04H8XLjR7C,TRUE,GLOBALPAY,FALSE
1GS5BDKBnauCt-3nHPs6x,TRUE,GLOBALPAY,FALSE
1h3IUX5e5cq7VD91Tpfjx,TRUE,GLOBALPAY,FALSE
1h8es57V5-fZcLq2AY_hl,TRUE,GLOBALPAY,FALSE
1hpKxWbjt07UiNMw_RBvr,TRUE,GLOBALPAY,FALSE
1JAA3i1OB-wKhLiCnhs8o,TRUE,GLOBALPAY,FALSE
1KhszaiT6RuUTTSusoSsi,TRUE,GLOBALPAY,FALSE
1KOkUP9qaoNx2MYyZUCVk,TRUE,GLOBALPAY,FALSE
1KXHzH7_9OJpTwiHkp-ny,TRUE,GLOBALPAY,FALSE
1ld_vshleiyZlUnanUQuc,TRUE,GLOBALPAY,FALSE
1lDySXHOmVYp4U9X4KFkC,TRUE,GLOBALPAY,FALSE
1mbSCWnHYwn4lpnn0NkOE,TRUE,GLOBALPAY,FALSE
1MgvvYlAAnxIZEowGufCM,TRUE,GLOBALPAY,FALSE
1mmRVVWK5LII602SEVuMG,TRUE,GLOBALPAY,FALSE
1n62uA1gKi2jMJiHqKwfm,TRUE,GLOBALPAY,TRUE
1n7vEIcwOCC7iTgIUa9lm,TRUE,GLOBALPAY,FALSE
1NAJ1qBYhNkzrdKD0O_43,TRUE,GLOBALPAY,TRUE
1Nm5tWXciOdSkLpq2pp-6,TRUE,GLOBALPAY,FALSE
1OXnYtx_fDeNjLC_9P_y-,TRUE,GLOBALPAY,FALSE
1p8hWZZwVlsCCCc5yGm4F,TRUE,GLOBALPAY,FALSE
1R-rxSSdO1QQRHZl6Cl_H,TRUE,GLOBALPAY,FALSE
1Rad74GnK_ADaI90lNwH7,TRUE,GLOBALPAY,FALSE
1rj7Gm3fsM4ZVGsisgcNb,TRUE,GLOBALPAY,FALSE
1rMs_1ro5_s4uwpVpyGjr,TRUE,GLOBALPAY,TRUE
1SNij7EDXLI1zPQcx_AoG,TRUE,GLOBALPAY,FALSE
1sQOLeS9sKcLG-6P9uBPf,TRUE,GLOBALPAY,FALSE
1sWM_oxF9vvCo_1AY9zcN,TRUE,GLOBALPAY,FALSE
1TccjvYLPew9v7htjOjMH,TRUE,GLOBALPAY,FALSE
1TExkp7dCP29-KgEOtxbU,TRUE,GLOBALPAY,FALSE
1u6-OTHIZkeudvF9mKFtc,TRUE,GLOBALPAY,FALSE
1Ua7qOA8RIHRrwCCR2T3q,TRUE,GLOBALPAY,FALSE
1UCyfXClr8mD-b1SNgYtE,TRUE,GLOBALPAY,FALSE
1umbvPikGov7Q3ll_dyKy,TRUE,GLOBALPAY,FALSE
1V131oKuwyFesJCtgTqKO,TRUE,GLOBALPAY,FALSE
1VWQLJIDPTRyCqvDbQNnb,TRUE,GLOBALPAY,FALSE
1Vza8VCl9p7gbOjvvuyth,TRUE,GLOBALPAY,FALSE
1w3U-h8wedCMvVtZMB-R6,TRUE,GLOBALPAY,FALSE
1W5enzhp8Q_YbxfjdQCM0,TRUE,GLOBALPAY,FALSE
1Wkn-cS34rLBuISOxKx_C,TRUE,GLOBALPAY,FALSE
1WnZ2SKBBJQCKya4FFnO_,TRUE,GLOBALPAY,FALSE
1XCux7pK23i40IG9hj83Q,TRUE,GLOBALPAY,FALSE
1xgN-ID8r1JmAxQ36Iwy-,TRUE,GLOBALPAY,FALSE
