external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,rates
ZQtj3yHyaTyxlGvhdKt8I,TRUE,GLOBALPAY,evt_1E5UEcb2LL2e4qwmZD6mukK,2019-01-01T09:36:00.000Z,DECLINED,FALSE,459.88,UK,GBP,"{""CAD"":1.4173511828553305,""EUR"":0.9225797497549879,""MXN"":25.098124751855323,""USD"":1,""SGD"":1.4342232652777973,""AUD"":1.656777771144169,""GBP"":0.8220252316047373}"
vFGWrb_Wjqhry08-8zfXh,TRUE,GLOBALPAY,evt_1EYhYUXCVb7Wz2NG6DbHlTo,2019-01-01T14:24:00.000Z,ACCEPTED,FALSE,171.55,UK,GBP,"{""CAD"":1.4173511828553305,""EUR"":0.9225797497549879,""MXN"":25.098124751855323,""USD"":1,""SGD"":1.4342232652777973,""AUD"":1.656777771144169,""GBP"":0.8220252316047373}"
oSta7fK0P5d4ier1TVVEr,TRUE,GLOBALPAY,evt_1Es4fSnPxpkj-hgFJSSXJEw,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,683.48,UK,GBP,"{""CAD"":1.4173511828553305,""EUR"":0.9225797497549879,""MXN"":25.098124751855323,""USD"":1,""SGD"":1.4342232652777973,""AUD"":1.656777771144169,""GBP"":0.8220252316047373}"
wYgc2mjHCUWJv1efhJFM8,TRUE,GLOBALPAY,evt_1EbIH9c7e094n5bXySYR_xD,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,1666.21,FR,EUR,"{""CAD"":1.419001247695722,""EUR"":0.9193015065576471,""MXN"":25.09893664707541,""USD"":1,""SGD"":1.4303333625792747,""AUD"":1.657204735915135,""GBP"":0.8180932187534893}"
Efn1-fPP8TIhW4MkxkcRG,TRUE,GLOBALPAY,evt_1ENTQ4Xo_16zZhCQ30Ve1xB,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,2164.35,FR,EUR,"{""CAD"":1.419001247695722,""EUR"":0.9193015065576471,""MXN"":25.09893664707541,""USD"":1,""SGD"":1.4303333625792747,""AUD"":1.657204735915135,""GBP"":0.8180932187534893}"
FP7dufG_9Su4OJT24AIfc,TRUE,GLOBALPAY,evt_1ERDNrYUFcjwzawy81EMkbY,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,2708.47,FR,EUR,"{""CAD"":1.419001247695722,""EUR"":0.9193015065576471,""MXN"":25.09893664707541,""USD"":1,""SGD"":1.4303333625792747,""AUD"":1.657204735915135,""GBP"":0.8180932187534893}"
DmQyXYhid18oJiWpsXSZb,TRUE,GLOBALPAY,evt_1EIlcl6xvGPp7zEpIxK5z7f,2019-01-01T14:24:00.000Z,DECLINED,FALSE,3077.75,FR,EUR,"{""CAD"":1.419001247695722,""EUR"":0.9193015065576471,""MXN"":25.09893664707541,""USD"":1,""SGD"":1.4303333625792747,""AUD"":1.657204735915135,""GBP"":0.8180932187534893}"
JRaX97jStHW0hMW-QHjl9,TRUE,GLOBALPAY,evt_1EkT3sHKjjf8dAk-yWqTvqw,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,3267.01,FR,EUR,"{""CAD"":1.419001247695722,""EUR"":0.9193015065576471,""MXN"":25.09893664707541,""USD"":1,""SGD"":1.4303333625792747,""AUD"":1.657204735915135,""GBP"":0.8180932187534893}"
tOClN5zRmeMhifdlBhWG7,TRUE,GLOBALPAY,evt_1ELyHogAOzmoB9IvCTZ1Mb0,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,802.75,CA,CAD,"{""CAD"":1.4172664709546088,""EUR"":0.9237409509479589,""MXN"":25.095176970549755,""USD"":1,""SGD"":1.4315655407282055,""AUD"":1.6571751047435896,""GBP"":0.821798786165638}"
6igaKb272U_I3tJIjiMMc,TRUE,GLOBALPAY,evt_1EojZ5XsAAFnJ-fC6lw7vaG,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,619.31,CA,CAD,"{""CAD"":1.4172664709546088,""EUR"":0.9237409509479589,""MXN"":25.095176970549755,""USD"":1,""SGD"":1.4315655407282055,""AUD"":1.6571751047435896,""GBP"":0.821798786165638}"
vbvYmbZ37l0sqUGN302sG,TRUE,GLOBALPAY,evt_1EC-tQBmz9QwudbIT5eUWS0,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,856.11,CA,CAD,"{""CAD"":1.4172664709546088,""EUR"":0.9237409509479589,""MXN"":25.095176970549755,""USD"":1,""SGD"":1.4315655407282055,""AUD"":1.6571751047435896,""GBP"":0.821798786165638}"
U6IYSmKpBvzV63pCAwOkL,TRUE,GLOBALPAY,evt_1E2G-omNPvpW5CFkqrL9ANG,2019-01-01T14:24:00.000Z,DECLINED,FALSE,850.59,CA,CAD,"{""CAD"":1.4172664709546088,""EUR"":0.9237409509479589,""MXN"":25.095176970549755,""USD"":1,""SGD"":1.4315655407282055,""AUD"":1.6571751047435896,""GBP"":0.821798786165638}"
WHQeUNR5QU6LqTF6jU_w3,TRUE,GLOBALPAY,evt_1EhAk55OEb-N1ilnbCU2UMq,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,1320.99,CA,CAD,"{""CAD"":1.4172664709546088,""EUR"":0.9237409509479589,""MXN"":25.095176970549755,""USD"":1,""SGD"":1.4315655407282055,""AUD"":1.6571751047435896,""GBP"":0.821798786165638}"
KoU335CmEIXwdqwAZR2TL,TRUE,GLOBALPAY,evt_1E21YDZjUCm11r1TL_iOOCh,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,1007.43,AE,USD,"{""CAD"":1.4175555178139747,""EUR"":0.9204944748133865,""MXN"":25.09024219551291,""USD"":1,""SGD"":1.4349029060534526,""AUD"":1.6612610652593314,""GBP"":0.8193266316547391}"
PkVGp258KSRsvzlvw7Uah,TRUE,GLOBALPAY,evt_1ERqXrS69n5ah2WVBA4dVVA,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,1358.69,AE,USD,"{""CAD"":1.4175555178139747,""EUR"":0.9204944748133865,""MXN"":25.09024219551291,""USD"":1,""SGD"":1.4349029060534526,""AUD"":1.6612610652593314,""GBP"":0.8193266316547391}"
Oy4TfQVxcLfiyvCEJayCB,TRUE,GLOBALPAY,evt_1E6pyvgL2bDNFVi5yUITlmW,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,1345.4,AE,USD,"{""CAD"":1.4175555178139747,""EUR"":0.9204944748133865,""MXN"":25.09024219551291,""USD"":1,""SGD"":1.4349029060534526,""AUD"":1.6612610652593314,""GBP"":0.8193266316547391}"
uNzdAjMMXp9El0aDYIzUm,TRUE,GLOBALPAY,evt_1EL2E3lQVDwZEJg7oK1wfOQ,2019-01-01T14:24:00.000Z,ACCEPTED,FALSE,1857.56,AE,USD,"{""CAD"":1.4175555178139747,""EUR"":0.9204944748133865,""MXN"":25.09024219551291,""USD"":1,""SGD"":1.4349029060534526,""AUD"":1.6612610652593314,""GBP"":0.8193266316547391}"
HfeEyPvqAR20kPH2MvAPR,TRUE,GLOBALPAY,evt_1EWXP2mB8IGETXoFieyhnRX,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,1817.14,AE,USD,"{""CAD"":1.4175555178139747,""EUR"":0.9204944748133865,""MXN"":25.09024219551291,""USD"":1,""SGD"":1.4349029060534526,""AUD"":1.6612610652593314,""GBP"":0.8193266316547391}"
vcFARfAhlWd2c3nW-KKxi,TRUE,GLOBALPAY,evt_1E-7GEiBQgqE83nDxdI15_l,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,2860.84,US,USD,"{""CAD"":1.416668991192801,""EUR"":0.9229663003892085,""MXN"":25.09297875211755,""USD"":1,""SGD"":1.4385668659048916,""AUD"":1.6623460367943905,""GBP"":0.8232825748075681}"
RQXhQbAJHkN1jwMaNu79b,TRUE,GLOBALPAY,evt_1E4oar-SJwNLXHDxQGn60wT,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,3556.52,US,USD,"{""CAD"":1.416668991192801,""EUR"":0.9229663003892085,""MXN"":25.09297875211755,""USD"":1,""SGD"":1.4385668659048916,""AUD"":1.6623460367943905,""GBP"":0.8232825748075681}"
GJJM8FMb2tL2d-oQNVgMw,TRUE,GLOBALPAY,evt_1E32lj7aLmqk72OLB4C7_YL,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,3322.42,US,USD,"{""CAD"":1.416668991192801,""EUR"":0.9229663003892085,""MXN"":25.09297875211755,""USD"":1,""SGD"":1.4385668659048916,""AUD"":1.6623460367943905,""GBP"":0.8232825748075681}"
OzgrYr2o2U8YZ_-5KbVcC,TRUE,GLOBALPAY,evt_1EuxOx-pe58xggEv0FHR48x,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3207.16,US,USD,"{""CAD"":1.416668991192801,""EUR"":0.9229663003892085,""MXN"":25.09297875211755,""USD"":1,""SGD"":1.4385668659048916,""AUD"":1.6623460367943905,""GBP"":0.8232825748075681}"
RGKjej45sMmg1QdR8HAeu,TRUE,GLOBALPAY,evt_1Ee0PAbFFKU0ZMkbP4twuZw,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3678.74,US,USD,"{""CAD"":1.416668991192801,""EUR"":0.9229663003892085,""MXN"":25.09297875211755,""USD"":1,""SGD"":1.4385668659048916,""AUD"":1.6623460367943905,""GBP"":0.8232825748075681}"
8eoxlgMKNgvjSX5wQXWm-,TRUE,GLOBALPAY,evt_1ERoyScQfnAKZNzHeIpXOaH,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,2373.28,MX,MXN,"{""CAD"":1.4172178315609907,""EUR"":0.9241093632192365,""MXN"":25.088388610322998,""USD"":1,""SGD"":1.440321229043485,""AUD"":1.65814703668969,""GBP"":0.827861440934114}"
f3HFG7ahP-CAaNDPTfHCx,TRUE,GLOBALPAY,evt_1E-O-x0GxWsSQR7ylqxfcbR,2019-01-02T04:48:00.000Z,DECLINED,FALSE,2350.81,MX,MXN,"{""CAD"":1.4172178315609907,""EUR"":0.9241093632192365,""MXN"":25.088388610322998,""USD"":1,""SGD"":1.440321229043485,""AUD"":1.65814703668969,""GBP"":0.827861440934114}"
qRliPYK32-fxuG_8gtzwo,TRUE,GLOBALPAY,evt_1E9Mg2eDd4zbn9FeAEVDs2J,2019-01-02T09:36:00.000Z,DECLINED,FALSE,2983.89,MX,MXN,"{""CAD"":1.4172178315609907,""EUR"":0.9241093632192365,""MXN"":25.088388610322998,""USD"":1,""SGD"":1.440321229043485,""AUD"":1.65814703668969,""GBP"":0.827861440934114}"
jp3-kF2_3PR1kKvgxmGrM,TRUE,GLOBALPAY,evt_1EZg_Nz6eRkKkfHxZpWF6Ee,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3509,MX,MXN,"{""CAD"":1.4172178315609907,""EUR"":0.9241093632192365,""MXN"":25.088388610322998,""USD"":1,""SGD"":1.440321229043485,""AUD"":1.65814703668969,""GBP"":0.827861440934114}"
0n2Qg32_o5znAmfoSLg7x,TRUE,GLOBALPAY,evt_1EiziOD_xpib4yUI7Pf5p4y,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3948.51,MX,MXN,"{""CAD"":1.4172178315609907,""EUR"":0.9241093632192365,""MXN"":25.088388610322998,""USD"":1,""SGD"":1.440321229043485,""AUD"":1.65814703668969,""GBP"":0.827861440934114}"
3t9Nt9ihAZpbXyjWEpcz0,TRUE,GLOBALPAY,evt_1EeNHCA1E56QN_uw77Ha66V,2019-01-02T00:00:00.000Z,DECLINED,FALSE,496.74,UK,GBP,"{""CAD"":1.418973714837365,""EUR"":0.9218808603985962,""MXN"":25.087779145204486,""USD"":1,""SGD"":1.4356173799131058,""AUD"":1.657153007998857,""GBP"":0.8280096048321323}"
PRa0HqTzZOmz5qE8Doa3G,TRUE,GLOBALPAY,evt_1EkXsTeM-nJvkrPvGMqzAYe,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,290.61,UK,GBP,"{""CAD"":1.418973714837365,""EUR"":0.9218808603985962,""MXN"":25.087779145204486,""USD"":1,""SGD"":1.4356173799131058,""AUD"":1.657153007998857,""GBP"":0.8280096048321323}"
G_vtELr0H6gGMq5WWdJLB,TRUE,GLOBALPAY,evt_1E_25fw8pmnjndqfafZVO05,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,256.46,UK,GBP,"{""CAD"":1.418973714837365,""EUR"":0.9218808603985962,""MXN"":25.087779145204486,""USD"":1,""SGD"":1.4356173799131058,""AUD"":1.657153007998857,""GBP"":0.8280096048321323}"
2wzqGAWXzZ-A89MAJWhah,TRUE,GLOBALPAY,evt_1EWfevaSyxzJFP_7S2C4-71,2019-01-02T14:24:00.000Z,DECLINED,FALSE,42.19,UK,GBP,"{""CAD"":1.418973714837365,""EUR"":0.9218808603985962,""MXN"":25.087779145204486,""USD"":1,""SGD"":1.4356173799131058,""AUD"":1.657153007998857,""GBP"":0.8280096048321323}"
3nOlqF7eFvyJQG4kWn0sd,TRUE,GLOBALPAY,evt_1ElXVF_gTpKVOw26-RvUj1h,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,60.81,UK,GBP,"{""CAD"":1.418973714837365,""EUR"":0.9218808603985962,""MXN"":25.087779145204486,""USD"":1,""SGD"":1.4356173799131058,""AUD"":1.657153007998857,""GBP"":0.8280096048321323}"
zmylL4Rge2PBr6z9g8CLi,TRUE,GLOBALPAY,evt_1Edp39u65v7289yV14ugulp,2019-01-02T00:00:00.000Z,DECLINED,FALSE,2997.61,FR,EUR,"{""CAD"":1.421266671443286,""EUR"":0.9176829827515507,""MXN"":25.08825728309447,""USD"":1,""SGD"":1.4362175791396956,""AUD"":1.654839888017955,""GBP"":0.8311097807119587}"
vJCUNXj3zil6RTZBgLaTP,TRUE,GLOBALPAY,evt_1E0sUU9xacvq4kL7Wo2TKMC,2019-01-02T04:48:00.000Z,DECLINED,FALSE,3521.93,FR,EUR,"{""CAD"":1.421266671443286,""EUR"":0.9176829827515507,""MXN"":25.08825728309447,""USD"":1,""SGD"":1.4362175791396956,""AUD"":1.654839888017955,""GBP"":0.8311097807119587}"
JXcp_-Pl5d02pPFP7JjiD,TRUE,GLOBALPAY,evt_1E0wXUz3pgRkxG9WQQIg1zu,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,3443.9,FR,EUR,"{""CAD"":1.421266671443286,""EUR"":0.9176829827515507,""MXN"":25.08825728309447,""USD"":1,""SGD"":1.4362175791396956,""AUD"":1.654839888017955,""GBP"":0.8311097807119587}"
56Rf9XD6HfNTsSPCe2l2s,TRUE,GLOBALPAY,evt_1EpaRJEesvXGbj0ylOIQ8wd,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3153.28,FR,EUR,"{""CAD"":1.421266671443286,""EUR"":0.9176829827515507,""MXN"":25.08825728309447,""USD"":1,""SGD"":1.4362175791396956,""AUD"":1.654839888017955,""GBP"":0.8311097807119587}"
VmeZ1pMsMLkmXqnpKrfLY,TRUE,GLOBALPAY,evt_1Es-YdhEoZxvh99Bw8C34q1,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,2931.98,FR,EUR,"{""CAD"":1.421266671443286,""EUR"":0.9176829827515507,""MXN"":25.08825728309447,""USD"":1,""SGD"":1.4362175791396956,""AUD"":1.654839888017955,""GBP"":0.8311097807119587}"
yJ_BuRV3ThK9i5Yyzi5pL,TRUE,GLOBALPAY,evt_1E8Iz0xF-HZ38nZv2Qp3aFq,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,1706.84,CA,CAD,"{""CAD"":1.4208987964886006,""EUR"":0.9139678541618033,""MXN"":25.085711010111762,""USD"":1,""SGD"":1.4357988966673507,""AUD"":1.6543117287418767,""GBP"":0.8270579739317089}"
DgiK1CGWAFsI7xFQQcnao,TRUE,GLOBALPAY,evt_1EwqG3rRGSeo58s6xFwIzDJ,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,2035.78,CA,CAD,"{""CAD"":1.4208987964886006,""EUR"":0.9139678541618033,""MXN"":25.085711010111762,""USD"":1,""SGD"":1.4357988966673507,""AUD"":1.6543117287418767,""GBP"":0.8270579739317089}"
LXVEQP3MCOdWMEVFxgTAI,TRUE,GLOBALPAY,evt_1EGgrCb_CbiOKfmoNOtGrpI,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,2087.17,CA,CAD,"{""CAD"":1.4208987964886006,""EUR"":0.9139678541618033,""MXN"":25.085711010111762,""USD"":1,""SGD"":1.4357988966673507,""AUD"":1.6543117287418767,""GBP"":0.8270579739317089}"
cqLpDDx21jE4WVGVvkyY1,TRUE,GLOBALPAY,evt_1EIH6IBrf6vmoAZhwIPZ-oo,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,2748.28,CA,CAD,"{""CAD"":1.4208987964886006,""EUR"":0.9139678541618033,""MXN"":25.085711010111762,""USD"":1,""SGD"":1.4357988966673507,""AUD"":1.6543117287418767,""GBP"":0.8270579739317089}"
t7jcfJMycO1crYV8CI6Qm,TRUE,GLOBALPAY,evt_1EuWCWbBnjTXYPxD5TuGC1p,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3374.03,CA,CAD,"{""CAD"":1.4208987964886006,""EUR"":0.9139678541618033,""MXN"":25.085711010111762,""USD"":1,""SGD"":1.4357988966673507,""AUD"":1.6543117287418767,""GBP"":0.8270579739317089}"
clpSnhixFiWkMaBpWemLl,TRUE,GLOBALPAY,evt_1E6FBGAn5p1TyjPC655XzlO,2019-01-02T00:00:00.000Z,ACCEPTED,FALSE,2451.95,AE,USD,"{""CAD"":1.416491913261428,""EUR"":0.9126183498634362,""MXN"":25.083197873760085,""USD"":1,""SGD"":1.4371096850038358,""AUD"":1.652637328887802,""GBP"":0.8261303237339395}"
EP9vcj8u1HmGb8iVXGXPm,TRUE,GLOBALPAY,evt_1EpajOWYTL8sssW-1VHwUO3,2019-01-02T04:48:00.000Z,ACCEPTED,FALSE,2835.55,AE,USD,"{""CAD"":1.416491913261428,""EUR"":0.9126183498634362,""MXN"":25.083197873760085,""USD"":1,""SGD"":1.4371096850038358,""AUD"":1.652637328887802,""GBP"":0.8261303237339395}"
CNay9vG2CKGVuZp3J82ZA,TRUE,GLOBALPAY,evt_1EqCPKpoxJBJSLmsTEBnM92,2019-01-02T09:36:00.000Z,ACCEPTED,FALSE,3301.72,AE,USD,"{""CAD"":1.416491913261428,""EUR"":0.9126183498634362,""MXN"":25.083197873760085,""USD"":1,""SGD"":1.4371096850038358,""AUD"":1.652637328887802,""GBP"":0.8261303237339395}"
gIQwaSgq7oiVnBaNF4rPS,TRUE,GLOBALPAY,evt_1EPcUFNPrSahy4zGYA7oNG6,2019-01-02T14:24:00.000Z,ACCEPTED,FALSE,3175.36,AE,USD,"{""CAD"":1.416491913261428,""EUR"":0.9126183498634362,""MXN"":25.083197873760085,""USD"":1,""SGD"":1.4371096850038358,""AUD"":1.652637328887802,""GBP"":0.8261303237339395}"
LJYz6S2CdFmHPsqx7vp8_,TRUE,GLOBALPAY,evt_1Eo21cGutPsJSwPorj3a8Jl,2019-01-02T19:12:00.000Z,ACCEPTED,FALSE,3033.41,AE,USD,"{""CAD"":1.416491913261428,""EUR"":0.9126183498634362,""MXN"":25.083197873760085,""USD"":1,""SGD"":1.4371096850038358,""AUD"":1.652637328887802,""GBP"":0.8261303237339395}"
IroRBWyG_s_FwDVZy2XPQ,TRUE,GLOBALPAY,evt_1E170drJfHysbD8DbRTcyKf,2019-01-03T00:00:00.000Z,ACCEPTED,FALSE,3697.78,US,USD,"{""CAD"":1.414870021099628,""EUR"":0.9107140854045618,""MXN"":25.07956736703881,""USD"":1,""SGD"":1.4391742325920052,""AUD"":1.6575347145222812,""GBP"":0.8290229580229714}"
haT-Xg9MZ3VW-VpOj3a8m,TRUE,GLOBALPAY,evt_1ELkeB5A4t-2Fo-Bwv5D3hg,2019-01-03T04:48:00.000Z,ACCEPTED,FALSE,3685.7,US,USD,"{""CAD"":1.414870021099628,""EUR"":0.9107140854045618,""MXN"":25.07956736703881,""USD"":1,""SGD"":1.4391742325920052,""AUD"":1.6575347145222812,""GBP"":0.8290229580229714}"
WnzaaolKcDnhr9Us8nMiO,TRUE,GLOBALPAY,evt_1E85hXz36LeB6STrTBJLKFe,2019-01-03T09:36:00.000Z,ACCEPTED,FALSE,3857.86,US,USD,"{""CAD"":1.414870021099628,""EUR"":0.9107140854045618,""MXN"":25.07956736703881,""USD"":1,""SGD"":1.4391742325920052,""AUD"":1.6575347145222812,""GBP"":0.8290229580229714}"
ZwRYCK6gPk6MVt5dxpWev,TRUE,GLOBALPAY,evt_1EsJ1Kf-hSD4VooPyBTM54-,2019-01-03T14:24:00.000Z,DECLINED,FALSE,4101.37,US,USD,"{""CAD"":1.414870021099628,""EUR"":0.9107140854045618,""MXN"":25.07956736703881,""USD"":1,""SGD"":1.4391742325920052,""AUD"":1.6575347145222812,""GBP"":0.8290229580229714}"
xu1Po5sQr30t_mABUsRBl,TRUE,GLOBALPAY,evt_1E7_Y9dbR5TcmZWpbSfo47M,2019-01-03T19:12:00.000Z,DECLINED,FALSE,3936.57,US,USD,"{""CAD"":1.414870021099628,""EUR"":0.9107140854045618,""MXN"":25.07956736703881,""USD"":1,""SGD"":1.4391742325920052,""AUD"":1.6575347145222812,""GBP"":0.8290229580229714}"
pN-NrYthCv4ffSU2KAkyU,TRUE,GLOBALPAY,evt_1ERqiEA9uNONlrEJgP0t-SV,2019-01-03T00:00:00.000Z,ACCEPTED,FALSE,3910.25,MX,MXN,"{""CAD"":1.4148814927038895,""EUR"":0.9148124164864385,""MXN"":25.079843427067235,""USD"":1,""SGD"":1.4433300785839576,""AUD"":1.6582916224291977,""GBP"":0.8339775685264003}"
F3NumyrteMRXlR7TIIO6X,TRUE,GLOBALPAY,evt_1EcqndP-5jZ0KZND-r6d75Z,2019-01-03T04:48:00.000Z,DECLINED,FALSE,3744.67,MX,MXN,"{""CAD"":1.4148814927038895,""EUR"":0.9148124164864385,""MXN"":25.079843427067235,""USD"":1,""SGD"":1.4433300785839576,""AUD"":1.6582916224291977,""GBP"":0.8339775685264003}"
oaGQi8dOvK-Nojt3-Z253,TRUE,GLOBALPAY,evt_1EMPrgiS0uW9IBlKAyUULwY,2019-01-03T09:36:00.000Z,ACCEPTED,FALSE,3959.68,MX,MXN,"{""CAD"":1.4148814927038895,""EUR"":0.9148124164864385,""MXN"":25.079843427067235,""USD"":1,""SGD"":1.4433300785839576,""AUD"":1.6582916224291977,""GBP"":0.8339775685264003}"
7ut4wt5T2BHVRmBTrGZ5q,TRUE,GLOBALPAY,evt_1Ea_ICaQKcV35aSdE4eXXW8,2019-01-03T14:24:00.000Z,ACCEPTED,FALSE,4420.73,MX,MXN,"{""CAD"":1.4148814927038895,""EUR"":0.9148124164864385,""MXN"":25.079843427067235,""USD"":1,""SGD"":1.4433300785839576,""AUD"":1.6582916224291977,""GBP"":0.8339775685264003}"
